name,fn_met_active_neigh,genes,max,min,weight
7023,0.628895184,ACOT4,0.7,0.6,0.566835871
11069,0.628895184,ACADM,0.7,0.6,0.566835871
8279,0.628841608,GDPD5,0.7,0.6,0.566835871
9214,0.628841608,VAT1,0.7,0.6,0.566835871
1703,0.628751975,NDUFA10,0.7,0.6,0.566835871
12554,0.628742515,CDKL4,0.7,0.6,0.566835871
5797,0.628726287,ACOX2,0.7,0.6,0.566835871
6596,0.628472222,PIPOX,0.7,0.6,0.566835871
5232,0.628395062,CYP7A1,0.7,0.6,0.566835871
12644,0.628370457,XDH,0.7,0.6,0.566835871
15356,0.628336756,ENSG00000249319,0.7,0.6,0.566835871
13124,0.628272251,ENSG00000168970,0.7,0.6,0.566835871
10702,0.628205128,RGS10,0.7,0.6,0.566835871
4418,0.628019324,CYP11B1,0.7,0.6,0.566835871
10448,0.62797619,PPOX,0.7,0.6,0.566835871
13785,0.627906977,BCKDK,0.7,0.6,0.566835871
16131,0.626780627,GDPD2,0.7,0.6,0.566835871
5869,0.626666667,DCAKD,0.7,0.6,0.566835871
9596,0.626666667,ENTPD4,0.7,0.6,0.566835871
75,0.626613704,OTC,0.7,0.6,0.566835871
2346,0.626582278,MSMO1,0.7,0.6,0.566835871
3744,0.626556017,SLC43A1,0.7,0.6,0.566835871
15871,0.626517274,GPX1,0.7,0.6,0.566835871
18946,0.626459144,SLC38A3,0.7,0.6,0.566835871
13992,0.62633452,AMPD3,0.7,0.6,0.566835871
16042,0.626315789,ALDH3A1,0.7,0.6,0.566835871
10277,0.626262626,ETNK2,0.7,0.6,0.566835871
15254,0.626237624,KCNK2,0.7,0.6,0.566835871
447,0.626187962,PYGB,0.7,0.6,0.566835871
3145,0.626126126,SLC5A1,0.7,0.6,0.566835871
5966,0.626062323,PDP2,0.7,0.6,0.566835871
18695,0.626006904,SLC1A7,0.7,0.6,0.566835871
1077,0.625882353,SLC1A4,0.7,0.6,0.566835871
2545,0.625742574,SLC27A6,0.7,0.6,0.566835871
14478,0.625429553,LIPK,0.7,0.6,0.566835871
18900,0.625393494,FDFT1,0.7,0.6,0.566835871
3143,0.625377644,SLC5A4,0.7,0.6,0.566835871
2246,0.625336927,KHK,0.7,0.6,0.566835871
4466,0.625336927,NAGS,0.7,0.6,0.566835871
11735,0.625326371,IPMK,0.7,0.6,0.566835871
8977,0.625,ENO4,0.7,0.6,0.566835871
4680,0.62484472,HPS3,0.7,0.6,0.566835871
7341,0.624633431,MDH2,0.7,0.6,0.566835871
18453,0.624415584,H6PD,0.7,0.6,0.566835871
7285,0.624223602,SLC25A20,0.7,0.6,0.566835871
